ENV-0490	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第2條	民國115年3月18日	空品惡化-警告等級	1	空氣品質惡化警告依污染程度區分為幾類別幾等級？各類別之等級細分為何？	預警（初級、中級）及嚴重惡化（輕度、中度、重度）二類別五等級	預警（初級、中級、高級）及嚴重惡化（輕度、重度）二類別五等級	預警（初級）及嚴重惡化（輕度、中度、重度、極重度）二類別五等級	預警（輕度、中度）及嚴重惡化（初級、中級、重度）二類別五等級	Air quality deterioration warnings are divided into how many categories and levels, and how are they subdivided?	Alert (primary, intermediate) and severe deterioration (mild, moderate, heavy): two categories, five levels	Alert (primary, intermediate, advanced) and severe deterioration (mild, heavy): two categories, five levels	Alert (primary only) and severe deterioration (mild, moderate, heavy, extreme): two categories, five levels	Alert (mild, moderate) and severe deterioration (primary, intermediate, heavy): two categories, five levels	a	第2條：空氣品質惡化警告等級依污染程度區分為預警（細分初級、中級）及嚴重惡化（細分輕度、中度或重度）二類別五等級，依懸浮微粒、細懸浮微粒、二氧化硫、二氧化氮、一氧化碳及臭氧之濃度條件依附件一判定。所稱空氣品質嚴重惡化，包含任一空氣污染物濃度達附件一所定輕度、中度或重度嚴重惡化等級者。	Article 2 sets two categories and five levels, judged against the pollutant concentrations in Annex 1.	draft	9		
ENV-3715	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第2條	民國113年6月11日	毒化許可-申請機關	2	毒性及關注化學物質之運作人，應向何處所在地主管機關申請核發許可證、登記文件或核可文件？	製造者為製造場所、輸入輸出及販賣者為營業場所、使用者為使用場所、貯存者為貯存場所所在地之直轄市縣市主管機關	所有運作行為一律向運作人公司登記所在地之直轄市縣市主管機關申請，不因製造輸入輸出販賣使用貯存而有不同之規定	所有運作行為一律向中央主管機關申請並由中央主管機關轉知各該場所所在地之直轄市縣市主管機關辦理後續查核事宜	製造者為營業場所、輸入輸出及販賣者為製造場所、使用者為貯存場所、貯存者為使用場所所在地之直轄市縣市主管機關	To which local authority must an operator apply for a permit, registration or approval document?	The authority where the manufacturing site is for manufacture, the business premises for import, export and sale, the use site for use, and the storage site for storage	Always the authority where the operator's company is registered, with no distinction between manufacture, import, export, sale, use or storage activities	Always the central competent authority, which then informs the local authority of each site to carry out the subsequent inspection work	The authority where the business premises are for manufacture, the manufacturing site for import, export and sale, the storage site for use, and the use site for storage	a	第2條：毒性及關注化學物質之運作人，應於運作前向下列場所所在地直轄市、縣（市）主管機關申請核發許可證、登記文件或核可文件，始得運作：製造為製造場所；輸入、輸出及販賣為營業場所；使用為使用場所；貯存為貯存場所。第9條並規定製造使用或貯存場所遷移、輸入販賣營業場所遷移至原主管機關管轄區域外者，運作人應重新申請。	Articles 2 and 9.	draft	9		
ENV-3716	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第3條	民國113年6月11日	毒化許可-合併申請	3	運作人申請許可證、登記文件或核可文件，於何種情形得合併申請？	所有場所無論位於何直轄市縣市一律得合併申請；運作人得自行選擇向任一場所所在地主管機關提出合併申請，並由該主管機關核發涵蓋全部運作行為之單一許可證而免另行申請其他文件	製造場所與輸入輸出販賣使用貯存場所位於不同直轄市縣市者得合併於製造許可證申請；輸入販賣場所與使用貯存場所位於不同直轄市縣市者得合併於使用登記文件申請；製造與販賣場所無論是否同一縣市均得合併申請	製造場所與輸入輸出販賣使用貯存場所位於同一直轄市縣市者得合併於製造許可證申請；輸入販賣場所與使用貯存場所位於同一直轄市縣市者得合併於輸入或販賣許可證申請；使用與貯存場所位於同一直轄市縣市者得合併申請	所有場所無論位於何直轄市縣市一律應分別申請而不得合併；縱製造場所與貯存場所位於同一直轄市縣市，仍應分別向該主管機關申請製造許可證及貯存登記文件而不得合併於同一份文件中申請辦理	When may applications for permits, registrations or approvals be combined?	All sites may always be combined regardless of location; the operator may choose any site's authority for a combined application and receive one single permit covering every operation activity with no other documents needed	Where the manufacturing site and the import, export, sale, use or storage sites are in different municipalities or counties they may be combined into the manufacturing permit; import and sale sites with use and storage sites into the use registration; manufacture and sale always combinable	Where the manufacturing site and the import, export, sale, use or storage sites are in the same municipality or county they may be combined into the manufacturing permit; import and sale sites with use and storage sites likewise; and use with storage sites likewise	All sites must always be applied for separately regardless of location; even where the manufacturing and storage sites are in the same municipality or county, separate manufacturing permits and storage registrations must be sought and may never be combined in one document	c	第3條第1項：製造、輸入、輸出、販賣或使用毒性及關注化學物質之運作人，應先取得貯存登記文件或核可文件，始得申請許可證、登記文件或核可文件；但依第2項合併申請時不在此限。第2項：製造場所與輸入輸出販賣使用貯存場所位於同一直轄市縣市者，得合併於製造許可證或核可文件申請；輸入、販賣場所與使用、貯存場所位於同一直轄市縣市者，得合併於輸入或販賣許可證或核可文件申請；使用與貯存場所位於同一直轄市縣市者得合併申請；申請製造許可證而其輸入自用原料場所位於同一直轄市縣市者，得合併於製造許可證申請。	Article 3.	draft	9		
ENV-3717	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第4條	民國113年6月11日	毒化許可-檢具文件	2	申請許可證、登記文件及核可文件，應分別檢具何附件文件？	申請許可證檢具申請書及附件四；申請登記文件檢具申請書及附件三；申請毒性及具危害性關注化學物質核可文件檢具申請書及附件二；申請其餘關注化學物質核可文件檢具申請書及附件一	申請許可證、登記文件及核可文件均檢具同一份申請書及全部附件一至附件七；運作人得自行選擇檢附其中任一附件即可，主管機關不得以未檢附其餘附件為由駁回其申請	申請許可證及登記文件均檢具申請書及附件一；申請各類關注化學物質核可文件一律檢具申請書及附件二，不因是否屬具危害性關注化學物質而有任何差異或另行區分附件之編號	申請許可證檢具申請書及附件一；申請登記文件檢具申請書及附件二；申請毒性及具危害性關注化學物質核可文件檢具申請書及附件三；申請其餘關注化學物質核可文件檢具申請書及附件四	Which annexes accompany applications for permits, registrations and approval documents?	Permits use Annex 4; registration documents use Annex 3; approval documents for toxic and hazardous concerned chemicals use Annex 2; approval documents for other concerned chemicals use Annex 1	Permits, registrations and approvals all use one application form with Annexes 1 to 7; the operator may attach any one annex and the authority may not reject the application for the rest	Permits and registration documents both use Annex 1; approval documents for all concerned chemicals uniformly use Annex 2, with no distinction drawn for hazardous concerned chemicals at all	Permits use Annex 1; registration documents use Annex 2; approval documents for toxic and hazardous concerned chemicals use Annex 3; approval documents for other concerned chemicals use Annex 4	d	第4條第1項：申請許可證者，應檢具申請書及附件一文件。第2項：申請登記文件者，應檢具申請書及附件二文件。第3項：申請毒性及經中央主管機關依本法指定公告具有危害性之關注化學物質核可文件者，應檢具申請書及附件三文件。第4項：申請前項以外關注化學物質核可文件者，應檢具申請書及附件四文件。第22條並規定申請應以中央主管機關所定網路傳輸系統為之。	Articles 4 and 22.	draft	9		
ENV-3718	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第5條	民國113年6月11日	毒化許可-貯存規定	3	申請貯存毒性及關注化學物質，其貯存場所有何區位限制？	第一類至第三類毒性化學物質貯存達分級運作量者，及第四類毒性及具危害性關注化學物質貯存達氣體五十公斤、液體一百公斤或固體二百公斤者，其貯存場所不得位於都市計畫住宅區或商業區	所有類別毒性及關注化學物質不論貯存數量多寡，其貯存場所一律不得位於都市計畫住宅區或商業區，且亦不得位於工業區、農業區或保護區等任何都市計畫劃定之使用分區內	所有類別毒性及關注化學物質不論貯存數量多寡，其貯存場所均得位於都市計畫住宅區或商業區，惟應加倍設置應變器材並投保公共意外責任保險後始得辦理貯存登記	第一類至第三類毒性化學物質貯存達分級運作量者，及第四類毒性及具危害性關注化學物質貯存達氣體一百公斤、液體五百公斤或固體一公噸者，其貯存場所不得位於都市計畫工業區或農業區	What siting restriction applies to storage sites for these substances?	Class 1 to 3 toxic chemicals stored at the graded operation volume, and class 4 toxic and hazardous concerned chemicals stored at 50 kg gas, 100 kg liquid or 200 kg solid, may not be stored in urban planning residential or commercial zones	All classes of toxic and concerned chemicals regardless of quantity may never be stored in urban planning residential or commercial zones, nor in industrial, agricultural, protection or any other designated urban planning zone	All classes of toxic and concerned chemicals regardless of quantity may be stored in urban planning residential or commercial zones, provided double response equipment is installed and public liability insurance is taken out	Class 1 to 3 toxic chemicals stored at the graded operation volume, and class 4 toxic and hazardous concerned chemicals stored at 100 kg gas, 500 kg liquid or 1 tonne solid, may not be stored in urban planning industrial or agricultural zones	a	第5條第1項第1款：毒性及具危害性關注化學物質有下列情形之一者，其貯存場所不得位於都市計畫住宅區或商業區：第一類至第三類毒性化學物質貯存達分級運作量；第四類毒性及具危害性關注化學物質貯存達氣體五十公斤、液體一百公斤或固體二百公斤。第2款：貯存於倉儲業之倉庫者應檢附該倉庫之貯存登記或核可文件及契約書影本，免再申請貯存登記或核可文件。第2項：倉儲業與受委託貯存管理者應登載受託管理之來源資料，主管機關應於受理翌日起五個工作日內完成確認。	Article 5.	draft	9		
ENV-3719	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第6條	民國113年6月11日	毒化許可-換發補發	2	許可證、登記文件或核可文件於有效期間內因毀損或滅失時，運作人應於何時申請換發或補發？	應於事實發生後六個月內檢具申請書及附件七文件向中央主管機關申請；逾期經主管機關通知者應於通知翌日起三十日內申請	應於事實發生後七日內檢具申請書及附件一文件向目的事業主管機關申請；逾期經主管機關通知者應於通知翌日起三日內申請	應於事實發生後一年內檢具申請書及附件六文件向原核發機關申請；逾期經主管機關通知者應於通知翌日起六十日內申請	應於事實發生後三十日內檢具申請書及附件五文件向直轄市縣市主管機關申請；逾期經主管機關通知者應於通知翌日起十日內申請	When must a damaged or lost permit, registration or approval document be reissued?	Within six months of the event, with the application form and Annex 7 to the central authority; if late, within 30 days from the day after notice	Within seven days of the event, with the application form and Annex 1 to the industry authority; if late, within three days from the day after notice	Within one year of the event, with the application form and Annex 6 to the issuing authority; if late, within 60 days from the day after notice	Within 30 days of the event, with the application form and Annex 5 to the municipality or county authority; if late, within 10 days from the day after notice	d	第6條第1項：許可證、登記文件或核可文件於有效期間內因毀損或滅失時，運作人應於事實發生後三十日內，檢具申請書及附件五文件向直轄市、縣（市）主管機關申請換發或補發。第2項：逾前項期間，經直轄市、縣（市）主管機關通知，運作人應於通知翌日起十日內，檢具相關證明文件影本，申請換發或補發。	Article 6.	draft	9		
ENV-3720	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第7條	民國113年6月11日	毒化許可-變更期限	3	申請變更運作人、運作場所基本資料及配置圖，與變更負責人者，其申請期限各為何？	運作人、運作場所基本資料與配置圖應自核發證明文件或事實發生之日起七日內為之；負責人變更應於三十日內為之	運作人、運作場所基本資料與配置圖應自核發證明文件或事實發生之日起二十日內為之；負責人變更應於六十日內為之	運作人、運作場所基本資料與配置圖應自核發證明文件或事實發生之日起三十日內為之；負責人變更應於九十日內為之	運作人、運作場所基本資料與配置圖應自核發證明文件或事實發生之日起六十日內為之；負責人變更應於二十日內為之	What deadlines apply to changing operator or site data, and to changing the responsible person?	Operator and site basic data and layout plans within 7 days of the certificate issue or the event; a change of responsible person within 30 days	Operator and site basic data and layout plans within 20 days of the certificate issue or the event; a change of responsible person within 60 days	Operator and site basic data and layout plans within 30 days of the certificate issue or the event; a change of responsible person within 90 days	Operator and site basic data and layout plans within 60 days of the certificate issue or the event; a change of responsible person within 20 days	b	第7條第2項：申請變更運作人、運作場所基本資料、運作場所全廠（場）配置圖與內部配置圖者，應自目的事業主管機關核發工廠登記證明文件、公司登記證明文件、商業登記文件或其他證明文件，或事實發生之日起二十日內為之；負責人變更應於六十日內為之。第3項：逾期未變更者，經主管機關通知，應於通知翌日起十日內申請變更。第4項：其餘文件或資料變更者，應提出申請經核准後始得變更。	Article 7.	draft	9		
ENV-3721	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第8條	民國113年6月11日	毒化許可-展延	3	申請許可證、登記文件或核可文件展延者，應於何期間內提出？未於期限內提出者有何效果？	應於期滿後三十日內檢具申請書及附件六文件補行申請；未於規定期間提出者，主管機關應逕予展延一次以維護運作人權益，運作人並得於展延期間內補正各項文件而不影響其運作之繼續進行	應於期滿前六個月至一年之期間內檢具申請書及附件二文件申請；未於規定期間提出者，主管機關應通知運作人限期補行申請，運作人於補行申請期間仍得依原核准事項繼續運作而不受任何限制	應於期滿前三個月至六個月之期間內檢具申請書及附件七文件申請；未於規定期間提出致主管機關無法作成准駁者，運作人及運作場所自有效期屆滿翌日起停止運作，未申請展延者於期限屆滿日起失其效力	應於期滿前一個月至三個月之期間內檢具申請書及附件五文件申請；未於規定期間提出致主管機關無法作成准駁者，運作人得繼續依原核准事項運作至完成審查為止，其許可證於審查期間仍屬有效而不失效	When must an extension be applied for, and what if the deadline is missed?	Within 30 days after expiry with the application form and Annex 6; if not filed in time, the authority must grant one extension to protect the operator, who may correct documents during that period and keep operating	Between six months and one year before expiry with the application form and Annex 2; if not filed in time, the authority notifies the operator to apply within a set period, during which operations may continue unrestricted	Between three and six months before expiry with the application form and Annex 7; if not filed in time so no decision can be made, operations stop from the day after expiry, and without any application the document lapses on the expiry date	Between one and three months before expiry with the application form and Annex 5; if not filed in time so no decision can be made, the operator may keep operating on the original terms until review ends and the permit stays valid	c	第8條第1項：申請許可證、登記文件或核可文件展延者，應於期滿前三個月至六個月之期間內，檢具申請書及附件七文件向直轄市、縣（市）主管機關為之。第3項：運作人於規定期限提出展延申請，因主管機關之審查致期限屆滿前無法完成展延准駁者，運作人或運作場所於期限屆滿至完成審查期間內，得依原核准事項運作。第4項：未於第1項規定期間提出展延申請，致主管機關於期限屆滿前無法作成准駁決定者，自有效期屆滿翌日起停止運作；未於期限屆滿前申請展延者，於期限屆滿日起失其效力，如需繼續運作應重新申請。	Article 8.	draft	9		
ENV-3722	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第8條之1	民國113年6月11日	毒化許可-污染流向圖	3	製造或使用毒性及關注化學物質之運作人申請許可證或其變更、展延前，應先辦理何事項？	須先繪製運作場所周邊一公里範圍內之土地使用分區圖及人口分布圖，檢視居民在不同區域間之分布及在各類避難設施間之關連；但運作場所位於工業區範圍內且已納入園區管理者不在此限	須先繪製運作場所全廠（場）機械設備配置圖及員工作業動線示意圖，檢視人員在不同區域間之移動路徑及在各類安全衛生設施間之關連；但僅供商業販賣用途且其運作總量高於分級運作量者不在此限	須先繪製運作場所全廠（場）空氣、水、廢棄物、毒性及關注化學物質污染流向示意圖，檢視污染在不同介質間之流向及在各類環保許可證間之關連；但僅供試驗研究或教育用途且運作總量低於分級運作量者不在此限	須先繪製運作場所歷年產能變化圖及財務收支趨勢圖，檢視營運在不同年度間之變化及在各類稅捐申報間之關連；但運作人為中小企業且員工人數未達三十人者不在此限而免予繪製	What must manufacturers and users do before applying for or amending a permit?	First draw a land use zoning and population distribution map for one kilometre around the site to review resident distribution and links to evacuation facilities; unless the site lies inside a managed industrial park	First draw a site-wide machinery layout and staff working circulation diagram to review personnel movement between the different areas and the links to the various safety and health facilities; unless solely for commercial sale above the graded operation volume	First draw a site-wide flow diagram of air, water, waste and chemical pollution to review flows between media and links to the various environmental permits; unless solely for testing, research or education below the graded operation volume	First draw charts of historical production capacity and financial trends to review changes between years and links to the various tax filings; unless the operator is a small business with fewer than thirty employees	c	第8條之1第1項：製造或使用毒性及關注化學物質之運作人申請許可證、登記文件或核可文件或其變更、展延前，須先繪製運作場所全廠（場）空氣、水、廢棄物、毒性及關注化學物質污染流向示意圖，檢視污染在不同介質間之流向及在各類環保許可證（文件）間之關連；但製造或使用僅供試驗、研究或教育用途，且運作總量低於分級運作量者不在此限。第2項：涉及其他類環保許可證之申請變更異動或展延者，須同時依各該環保法規提出。	Article 8-1.	draft	9		
ENV-3723	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第9條	民國113年6月11日	毒化許可-重新申請	2	第2條規定之場所有何情形時，運作人應重新申請許可證、登記文件或核可文件？	製造、使用或貯存場所增設監視器；輸入、販賣營業場所變更其對外之營業時間或聯絡電話	製造、使用或貯存場所遷移；輸入、販賣營業場所遷移至原直轄市縣市主管機關之管轄區域外	製造、使用或貯存場所更換專責人員；輸入、販賣營業場所變更其所販賣商品之品項名稱	製造、使用或貯存場所整修；輸入、販賣營業場所遷移至原直轄市縣市主管機關之管轄區域內	When must an operator re-apply for a permit, registration or approval document?	Installation of cameras at a manufacturing, use or storage site; or a change in the business hours or contact number of import or sale premises	Relocation of a manufacturing, use or storage site; or relocation of import or sale premises outside the original local authority's jurisdiction	Replacement of dedicated staff at a manufacturing, use or storage site; or a change in the product names sold at import or sale premises	Renovation of a manufacturing, use or storage site; or relocation of import or sale premises within the original local authority's jurisdiction	b	第9條：第二條規定之場所有下列情形之一者，運作人應重新申請許可證、登記文件或核可文件：製造、使用或貯存場所遷移；輸入、販賣營業場所遷移至原直轄市、縣（市）主管機關之管轄區域外。故製造、使用、貯存場所只要遷移即應重新申請，輸入、販賣營業場所則須遷移至原管轄區域外始須重新申請。	Article 9.	draft	9		
ENV-3724	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第10條	民國113年6月11日	毒化許可-審查限制	2	直轄市、縣（市）主管機關受理許可證、登記文件或核可文件申請、變更或展延審查，應遵守何限制？	應一律以書面審查為之而不得辦理現場勘察；其審查範圍僅限於申請書所載事項而不及於任何附件	應依中央主管機關個案指示決定審查範圍；主管機關並得逕行變更運作人所申請之運作行為及數量	得以附款方式增加法規所未明定之義務；其審查範圍並得及於申請、變更或展延內容以外之一切事項	不得以任何形式之處分增加法規所未明定之義務；其審查範圍不得及於申請、變更或展延內容以外之事項	What limits apply to the local authority's review of applications?	It must review on paper only and may never conduct a site inspection, and its review covers only the application form and none of the annexes	It must follow case-by-case instructions of the central authority on scope, and may itself alter the operation activities and quantities applied for	It may impose duties beyond those set by law through conditions, and its review may extend to any matter beyond the content of the application, change or extension	It may not impose duties beyond those set by law through any form of disposition, and its review may not extend beyond the content of the application, change or extension	d	第10條第1項：直轄市、縣（市）主管機關受理許可證、登記文件或核可文件申請、變更或展延審查，應依下列規定辦理：不得以任何形式之處分增加法規所未明定之義務；其審查範圍不得及於申請、變更或展延內容以外之事項。第2項：主管機關辦理前項審查，得邀集有關機關、學者及專家進行現場勘察。	Article 10.	draft	9		
ENV-3725	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第11條	民國113年6月11日	毒化許可-審查期間	2	直轄市、縣（市）主管機關受理許可證、登記文件及核可文件之審查期間為何？必要時得如何處理？	除許可證之申請為十個工作天外，其他為五個工作天；必要時得通知申請人延長三倍之期間	所有申請一律為四十五個工作天而無區分；必要時得通知申請人無限次數延長其審查期間	除許可證之申請為六十個工作天外，其他為三十個工作天；必要時得通知申請人延長二倍	除許可證之申請為三十個工作天外，其他為二十個工作天；必要時得通知申請人延長一倍	What review periods apply, and how may they be extended?	Ten working days for a permit application and five working days for the rest; the applicant may be notified of a quadrupling where necessary	Forty-five working days for every application without distinction; the applicant may be notified of unlimited extensions where necessary	Sixty working days for a permit application and thirty working days for the rest; the applicant may be notified of a tripling where necessary	Thirty working days for a permit application and twenty working days for the rest; the applicant may be notified of a doubling where necessary	d	第11條第1項：直轄市、縣（市）主管機關受理許可證、登記文件及核可文件之申請、換（補）發、變更、展延之審查期間，除許可證之申請為三十個工作天外，其他為二十個工作天。第2項：前項審查期間必要時，直轄市、縣（市）主管機關得通知申請人延長一倍。第12條並規定各次補正日數不算入審查期限內，且補正總日數不得超過三十日。	Articles 11 and 12.	draft	9		
ENV-3726	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第12條	民國113年6月11日	毒化許可-補正	2	主管機關受理申請文件不合規定或內容有欠缺者，其補正規定為何？	應即通知運作人限期補正；補正次數以一次為限，逾期未補正者視為撤回申請，各次補正日數應算入審查期限內且不得逾六十日	應即通知運作人限期補正；已於期限內補正仍不合規定者得再通知限期補正，各次補正日數不算入審查期限內，且補正總日數不得超過三十日	應報請中央主管機關決定是否通知補正；經核准補正者其補正日數算入審查期限內，補正總日數並得由主管機關視個案彈性認定	應即駁回其申請而不得通知補正；運作人如需繼續申請者應重新提出全部文件並重新繳納審查費用，其補正總日數不得超過九十日之期間	What rules govern correction of deficient applications?	The operator must be notified to correct within a set period; only one correction is allowed, failure means withdrawal, and correction days count toward the review period up to 60 days	The operator must be notified to correct within a set period; further notices may follow if still deficient, correction days do not count toward the review period, and total correction days may not exceed 30	The central authority decides whether to allow correction; where allowed, correction days count toward the review period and the total is set flexibly case by case	The application must be rejected outright with no notice to correct at all; to apply again the operator must resubmit every document and pay the review fee afresh, with total correction days capped at 90	b	第12條第1項：直轄市、縣（市）主管機關受理申請文件、現場勘察結果不合規定或內容有欠缺者，應即通知運作人限期補正。第2項：已於期限內補正而仍不合規定或內容有欠缺者，直轄市、縣（市）主管機關得再通知限期補正；各次補正日數不算入審查期限內，且補正總日數不得超過三十日。第13條並規定經通知限期補正屆期未補正者應予駁回。	Articles 12 and 13.	draft	9		
ENV-3727	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第13條	民國113年6月11日	毒化許可-駁回及發證	3	主管機關受理審查有何情事應予駁回？經核准者其發給期限為何？	運作人曾有違反本法紀錄或運作量偏低者應予駁回；經核准者運作人無須公開任何內容，主管機關應於核准之日起七日內以掛號郵寄方式發給許可證登記文件或核可文件予該運作人	未依收費標準繳費或經通知後十四日內未完成繳費、未依規定檢具文件經通知限期補正屆期未補正者應予駁回；經核准者運作人應公開於中央主管機關指定網站，主管機關應於運作人公開後十四日內發給	未依收費標準繳費或經通知後三十日內未完成繳費、未依規定檢具文件經通知限期補正屆期未補正者應予駁回；經核准者主管機關應於核准後三十日內逕行發給並代為公開於指定網站供民眾查詢	未取得目的事業主管機關同意函、運作場所未設置專責人員者應予駁回；經核准者運作人應公開於公司網站，主管機關應於運作人公開後六個月內發給許可證登記文件或核可文件予運作人收執	What grounds require rejection, and when is an approved document issued?	A past violation record or persistently low operation volumes; once approved the operator publishes nothing and the authority posts the document by registered mail within seven days of approval	Failure to pay fees or to complete payment within 14 days of notice, or failure to correct documents by the deadline; once approved the operator publishes on the designated website and the authority issues within 14 days of that publication	Failure to pay the fees or to complete payment within 30 days of notice, or failure to correct the documents by the stated deadline; once approved the authority issues the document within 30 days and publishes it on the designated website itself	Failure to obtain the industry authority's consent letter or to appoint dedicated staff; once approved the operator publishes on its company website and the authority issues within six months of that publication	b	第13條第1項：主管機關受理審查有下列情事之一者應予駁回：未依毒性及關注化學物質運作申請收費標準規定繳費，或經主管機關通知繳交審查費及證書費後十四日內未完成繳費；未依第四條、第六條至第八條規定檢具相關申請文件，經通知限期補正屆期未補正。第2項：經審查核准之許可證、登記文件或核可文件內容，運作人應依規定公開於中央主管機關指定網站；直轄市、縣（市）主管機關應於運作人公開後十四日內發給許可證、登記文件或核可文件。	Article 13.	draft	9		
ENV-3728	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第14條	民國113年6月11日	毒化許可-不予核准	2	申請許可證、登記文件或核可文件，有何情形主管機關不予核准？	一年內曾經主管機關實施查核並發現有應改善事項者；或經目的事業主管機關認定其工廠登記證明文件之營業項目與所申請之運作行為不完全相符而尚未辦理變更登記者	二年內曾經主管機關依本法撤銷、廢止其同一列管編號毒性及關注化學物質之許可證、登記文件、核可文件或勒令歇業；或經中央主管機關依本法第八條公告限制或禁止其有關之運作	五年內曾經主管機關依本法處以罰鍰或命其限期改善者；或經中央主管機關依本法第九條公告應申報運作紀錄而運作人未依規定期限完成申報前一個月之運作紀錄達三次以上者	十年內曾有運作場所發生化學物質洩漏事故之紀錄者；或經中央主管機關認定其運作場所與鄰近住宅區之直線距離未達五百公尺而有影響居民健康安全之虞者等情形	On what grounds must an application be refused?	An inspection within one year found matters requiring improvement; or the industry authority found the business items on the factory registration do not fully match the operation applied for and no change has been registered	A permit, registration, approval or business closure order was revoked or annulled under the Act within two years for the same listed substance number; or the central authority has announced a restriction or ban on the relevant operation under Article 8	A fine or an order to improve within a set period was imposed under the Act within the last five years; or the operator failed three or more times to file the previous month's operation records by the deadline announced under Article 9 of the Act	A chemical leak incident occurred at the site within ten years; or the central authority found the site is less than 500 metres in a straight line from a residential zone and may affect residents' health and safety	b	第14條：申請許可證、登記文件或核可文件，有下列情形之一者，直轄市、縣（市）主管機關不予核准：二年內曾經直轄市、縣（市）主管機關依本法規定撤銷、廢止其同一列管編號毒性及關注化學物質之許可證、登記文件、核可文件或勒令歇業；經中央主管機關依本法第八條公告限制或禁止其有關之運作。	Article 14.	draft	9		
ENV-3729	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第15條	民國113年6月11日	毒化許可-駁回展延	3	申請展延許可證、登記文件或核可文件，有何情形主管機關得駁回其展延？	一年內違反本法第三十七條第一項、第四十一條第一項或第三項同一法條達二次以上；經裁處停工或停業處分二次以上；同一年度單次或累計處三百萬元以上罰鍰或有效期間累計處五百萬元以上罰鍰；最近三年運作紀錄與申報運作量皆為零	三年內曾辦理運作場所遷移或負責人變更者；經主管機關實施現場勘察發現缺失二次以上；同一年度單次或累計處一千萬元以上罰鍰；最近五年運作紀錄與申報資料之運作量呈現逐年遞減之趨勢而未見改善者	一年內違反本法任一條文規定達一次以上；經主管機關裁處罰鍰處分一次以上；同一年度單次或累計處五十萬元以上罰鍰或有效期間內累計處一百萬元以上罰鍰；最近一年運作紀錄與申報資料之運作量低於前一年度之半數以下者	五年內曾申請變更運作物質種類或濃度者；經員工檢舉違反本法規定二次以上；同一年度單次或累計處一百萬元以上罰鍰；最近十年運作紀錄與申報資料之運作量皆為零而運作人未主動申請廢止其原核准文件者	On what grounds may an extension application be rejected?	Two or more breaches of the same provision of Articles 37(1), 41(1) or 41(3) within a year; two or more work or business suspension orders; fines of NT$3 million in a year or NT$5 million over the validity period; or zero operation volume for the last three years	A site relocation or change of responsible person within three years; two or more deficiencies found on inspection; fines of NT$10 million in a year; or operation volumes declining year on year over the last five years without improvement	One or more breaches of any provision of the Act within a year; one or more fines imposed by the competent authority; fines of NT$500,000 in a single year or NT$1 million over the validity period; or operation volume in the last year below half that of the preceding year	A change of substance type or concentration within five years; two or more employee reports of breaches; fines of NT$1 million in a year; or zero operation volume for ten years without the operator applying to annul the approval	a	第15條：申請展延許可證、登記文件或核可文件，有下列情形之一者，直轄市、縣（市）主管機關得駁回其展延：一年內違反本法第三十七條第一項、第四十一條第一項或第三項規定，同一法條達二次以上；違反本法規定，經主管機關裁處停工或停業處分二次以上；同一年度違反本法，單次或累計處新臺幣三百萬元以上罰鍰，或許可證、登記文件、核可文件有效期間累計處新臺幣五百萬元以上罰鍰；毒性及關注化學物質最近三年之運作紀錄與申報資料之運作量皆為零，但用於檢驗或研究者不在此限。	Article 15.	draft	9		
ENV-3730	ENV	ENV-72	毒性及關注化學物質許可登記核可管理辦法	第16條	民國113年6月11日	毒化許可-核發方式	1	直轄市、縣（市）主管機關受理申請案件，其審查及核發方式為何？	一律就每一種化學物質分別核發獨立之許可證、登記文件或核可文件而不得依運作場所或運作人合併	一律由中央主管機關統一審查並核發單一許可證，地方主管機關僅負責受理收件及後續之查核作業	先依毒性及關注化學物質之特性個別審查，再依運作場所或運作人合併核發許可證、登記文件或核可文件	先依運作人之資本額規模個別審查，再依化學物質種類分別核發許可證、登記文件或核可文件於各場所	How are applications reviewed and documents issued?	A separate independent document is always issued for each substance and may never be combined by site or by operator	The central authority reviews and issues a single permit, with the local authority only receiving applications and inspecting	Each substance is reviewed individually by its characteristics, and documents are then issued on a combined basis by operation site or operator	Applications are reviewed individually by the operator's capital scale, and documents issued separately by substance type for each site	c	第16條：直轄市、縣（市）主管機關受理申請案件，先依毒性及關注化學物質之特性個別審查，再依運作場所或運作人，合併核發許可證、登記文件或核可文件。此制度使審查得就個別物質特性把關，核發時則以運作場所或運作人為單位整合，避免文件過於零散。	Article 16.	draft	9		
