ENV-1537	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第1條	民國100年6月24日	既存排放量認可-法源	1	既存固定污染源污染物排放量認可準則係依據哪一條文授權訂定？	依空氣污染防制法第八條第五項規定訂定之	依空氣污染防制法第六條第四項規定訂定之	依空氣污染防制法第十二條第三項規定訂定之	依空氣污染防制法第二十一條第二項規定訂定之	Under which provision are the Regulations for Recognition of Pollutant Emissions from Existing Stationary Sources adopted?	Adopted under Article 8, Paragraph 5 of the Air Pollution Control Act	Adopted under Article 6, Paragraph 4 of the Air Pollution Control Act	Adopted under Article 12, Paragraph 3 of the Air Pollution Control Act	Adopted under Article 21, Paragraph 2 of the Air Pollution Control Act	a	第1條：本準則依空氣污染防制法第八條第五項規定訂定。空污法第八條規範總量管制區內固定污染源排放量之認可與交易，第十二條則為分期分區公告實施總量管制之依據，兩者搭配適用。	Article 1: adopted under Article 8(5) of the Air Pollution Control Act.	draft	14		
ENV-4107	ENV	ENV-217	環境用藥許可證申請核發作業準則	第5條	民國113年3月8日	環境用藥-審查範圍	2	關於許可證申請之審查範圍，本準則設有何種限制？	審查範圍得及於申請人之其他既有產品，並得課予附款形式之義務	審查範圍由中央主管機關視個案需要認定，不受申請內容範圍拘束	審查範圍以申請內容為主，必要時得以處分增加額外之管理義務	審查範圍不得及於申請內容以外之事項，且不得增加法規未明定之義務	What limits apply to the scope of the permit review?	It may extend to the applicant other products and impose ancillary duties	The central authority defines the scope case by case without limits	The application guides it, but extra duties may be imposed if needed	It may not go beyond the application, nor add duties not stated in law	d	第5條第1項前段：中央主管機關受理許可證申請之審查，其審查範圍不得及於申請內容以外之事項，並不得以任何形式之處分增加法規未明定之義務。第11條授權更正顯然錯誤。	Article 5, paragraph 1, opening text.	draft	14		
ENV-4108	ENV	ENV-217	環境用藥許可證申請核發作業準則	第6條	民國113年3月8日	環境用藥-特殊用藥	2	下列何者屬本準則所定之特殊環境衛生用藥？	須經稀釋一百倍以上始得使用之環境用藥	含二種以上不同效能有效成分之環境用藥	須在專業安全防護措施下使用之環境用藥	有效期限超過二年之環境衛生用藥原體	Which of the following is a special environmental sanitation agent?	An agent that must be diluted at least one hundred times before any use	An agent containing two or more active ingredients of different efficacy	An agent that must be used under professional safety protection measures	An environmental sanitation agent raw material with over two years shelf life	c	第6條第1款：須在專業安全防護措施下使用者，為特殊環境衛生用藥；其餘尚有須以噴藥機械施用、殺菌劑有效成分濃度大於附件二等情形。	Article 6, subparagraph 1.	draft	14		
ENV-4109	ENV	ENV-217	環境用藥許可證申請核發作業準則	第6條	民國113年3月8日	環境用藥-特殊用藥	3	環境衛生用殺菌劑之劑型種類未列於附件二者，濃度達多少以上屬特殊環境衛生用藥？	劑型未列於附件二而其濃度在百分之十以上者	劑型未列於附件二而其濃度在百分之一以上者	劑型已列於附件二而其濃度在百分之五以下者	劑型未列於附件二而其濃度在百分之五以上者	For a disinfectant whose dosage form is not listed in Appendix 2, what concentration makes it special?	Dosage form not listed in Appendix 2 and concentration of 10 percent or more	Dosage form not listed in Appendix 2 and concentration of 1 percent or more	Dosage form already listed in Appendix 2 and concentration of 5 percent or less	Dosage form not listed in Appendix 2 and concentration of 5 percent or more	d	第6條第3款、第4款：環境衛生用殺菌劑有效成分濃度大於附件二者屬特殊環境衛生用藥；其劑型種類未列於附件二而濃度在百分之五以上者亦同。	Article 6, subparagraph 4: 5 percent or more.	draft	14		
ENV-4110	ENV	ENV-217	環境用藥許可證申請核發作業準則	第6條	民國113年3月8日	環境用藥-特殊用藥	2	依本準則，須以何類機具施用之環境用藥，屬於特殊環境衛生用藥？	噴霧機、煙霧機、冷霧機、消毒機、超低容量機等噴藥機械	自動感應噴霧器或插電式蚊香加熱器等居家電器設備	手壓式噴瓶、滴管或棉球等家庭常用之簡易施藥器具	農用曳引機、播種機或收穫機等經核准之農業機械	Use of which equipment makes an agent a special environmental sanitation agent?	Sprayers, foggers, cold foggers, disinfection machines, ULV and similar rigs	Automatic sensor sprayers or plug-in mosquito coil heaters used at home	Hand pump bottles, droppers, cotton swabs and other simple household tools	Approved farm machinery such as tractors, seeders and harvesting machines	a	第6條第2款：須以噴霧機、煙霧機、冷霧機、消毒機、超低容量機（ULV）或其他噴藥機械等機具施用者，為特殊環境衛生用藥；第7條並得對特殊性質藥劑加以限制。	Article 6, subparagraph 2.	draft	14		
ENV-4111	ENV	ENV-217	環境用藥許可證申請核發作業準則	第7條	民國113年3月8日	環境用藥-特殊性質	2	具有特殊性質之環境用藥，中央主管機關得對其為何種限制？	得限制其製造廠址、營業場所面積、貯存數量、運送方式及販賣對象之資格	得限制其種類、品類、品名、內容量、劑型、成分及含量、性能、適用範圍或使用方法	得限制其許可證有效期間為三年、展延次數一次及每年最高製造數量上限	得限制其僅由行政機關或學術研究機構購買使用，並禁止於市面零售販賣	What may be restricted for an agent with special properties?	Its plant site, premises area, storage volume, transport mode and buyer eligibility	Its category, class, name, content, dosage form, ingredients, efficacy, use and scope	Its permit term of three years, one renewal only and an annual production ceiling	Its sale to agencies or academic institutions only, barring all retail sale	b	第7條第1項：具有特殊性質之環境用藥，得限制其環境用藥種類、品類、品名、內容量、劑型、成分及含量、性能、適用範圍或使用方法。第2項另定殺鼠劑應添加苦味劑。	Article 7, paragraph 1.	draft	14		
ENV-4112	ENV	ENV-217	環境用藥許可證申請核發作業準則	第7條	民國113年3月8日	環境用藥-殺鼠劑	2	一般環境用藥殺鼠劑之添加物規定為何？有無例外？	應添加苦味劑；但有特殊性質者，不在此限	應添加警戒色素；但有特殊性質者，不在此限	應添加解毒劑，且法無例外規定得予免除	應同時添加誘引劑及苦味劑，並無例外規定	What additive is required for general rodenticide environmental agents?	A bittering agent must be added, unless the product has special properties	A warning dye must be added, unless the product has special properties	An antidote must be added, and the law allows no exemption at all	Both an attractant and a bittering agent must be added, with no exception	a	第7條第2項：一般環境用藥殺鼠劑應添加苦味劑，但有特殊性質者不在此限。此規定旨在避免誤食中毒，與第14條毒性分類不予核發之例外規定相呼應。	Article 7, paragraph 2: bittering agent, with a special-properties proviso.	draft	14		
ENV-4113	ENV	ENV-217	環境用藥許可證申請核發作業準則	第8條	民國113年3月8日	環境用藥-首次登記	2	環境衛生用藥或用微生物製劑之有效成分於國內首次申請登記者，應提供何種文件？	世界衛生組織出具之殺蟲劑毒性分類證明文件；國內自行開發者亦不免除	出產國主管機關出具之產品不列管證明文件；由學術機構開發者亦須提供	任一鄰近國家主管機關出具之許可或登記證明文件；國內自行開發者除外	任一已開發國家主管機關出具之許可或登記證明文件；國內自行開發者除外	What must be supplied when an active ingredient is first registered domestically?	A WHO insecticide toxicity classification certificate, with no exemption	A non-listed-substance certificate from the country of origin authority	A permit or registration certificate from any neighbouring country authority	A permit or registration certificate from any developed country authority	d	第8條：有效成分於國內首次申請登記為環境用藥者，應提供任一已開發國家主管機關出具之許可或登記證明文件；但國內自行開發之藥劑不在此限。	Article 8, with an exemption for domestically developed agents.	draft	14		
ENV-4114	ENV	ENV-217	環境用藥許可證申請核發作業準則	第9條	民國113年3月8日	環境用藥-輸入許可	2	申請環境用藥輸入許可證，應檢具經我國駐外單位驗證之證明文件為何？	出產國主管機關許可製造及上市販賣證明文件，以及經銷授權書	出產國主管機關核發之工廠登記證明文件，以及產品檢驗報告	出產國環保團體出具之產品安全證明，以及原廠品質保證書	我國駐外單位出具之市場調查報告，以及輸入數量申報文件	Which consular-authenticated documents are needed for an import permit?	Origin country approval of manufacture and marketing, plus a distribution authorisation	Origin country factory registration certificate, plus a product testing report	A safety certificate from an origin country NGO, plus a maker quality warranty	A market survey report from our mission abroad, plus an import volume filing	a	第9條第1項：申請輸入許可證應檢具經我國駐外單位驗證之出產國主管機關許可製造及上市販賣證明文件，以及經銷授權書。第10條另定大陸地區文書之公證驗證程序。	Article 9, paragraph 1, subparagraphs 1 and 2.	draft	14		
ENV-4115	ENV	ENV-217	環境用藥許可證申請核發作業準則	第9條	民國113年3月8日	環境用藥-輸入許可	3	出產國主管機關僅出具供輸出之製造證明文件時，申請人應如何補強？	應另提供出產國商會出具之產品品質保證書及銷售實績證明文件	應另提供原製造廠工廠登記證明文件及有效成分分析檢測報告	應另提供中央主管機關指定檢測機構出具之藥效（效力）檢測報告	應另提供任一已開發國家主管機關出具之該產品登記或許可證明文件	If the origin country certifies manufacture for export only, what else is required?	A quality warranty and sales record certificate from the origin country chamber	The maker factory registration certificate and an active ingredient assay report	An efficacy test report from a testing body designated by the central authority	A registration or approval certificate for the product from any developed country	d	第9條第2項：出產國主管機關如出具僅供輸出之製造證明文件者，應另提供任一已開發國家主管機關出具之該產品登記或許可證明文件；出產國無登記許可制度者，得以不列管證明代之。	Article 9, paragraph 2.	draft	14		
ENV-4116	ENV	ENV-217	環境用藥許可證申請核發作業準則	第9條	民國113年3月8日	環境用藥-輸入許可	3	出產國無登記許可制度且其主管機關不出具證明文件者，應提具何文件？驗證要求為何？	出產國主管機關出具之產品不列管證明文件，並須經大陸委員會委託之團體驗證	產品管理相關機關（構）之製造、販賣證明或商品化證明文件，仍須經駐外單位驗證	產品管理相關機關（構）之製造、販賣證明或商品化證明文件，毋須經駐外單位驗證	任一已開發國家出具之產品登記證明文件，並須經駐外單位及公證人雙重驗證	If the origin country has no registration system and issues no certificate, what applies?	A non-listed-substance certificate from the origin authority, authenticated by a mainland body	Manufacture, sale or commercialisation papers from product management bodies, still authenticated	Manufacture, sale or commercialisation papers from product management bodies, no authentication	A registration certificate from any developed country, doubly authenticated by a notary	c	第9條第3項：出產國無登記許可制度且主管機關不出具證明文件者，應提具產品管理相關機關（構）之製造、販賣證明文件，或已於出產國及他國銷售使用之商品化證明文件；該文件毋須經我國駐外單位驗證。	Article 9, paragraph 3: consular authentication is not required.	draft	14		
ENV-4117	ENV	ENV-217	環境用藥許可證申請核發作業準則	第10條	民國113年3月8日	環境用藥-大陸文書	2	大陸地區製作之相關文書，依本準則應如何辦理公證及驗證？	由申請人自行翻譯後送中央主管機關備查，無須辦理公證或其他驗證之程序	先經我國海峽交流基金會公證，再由大陸地區主管機關出具正式登記證影本	先於大陸地區公證處公證，並經行政院大陸委員會設立、指定或委託之機構團體驗證	先於大陸地區公證處公證，並經我國駐外單位及外交部領事事務局完成雙重驗證	How must documents made in mainland China be notarised and authenticated?	Self-translated and filed for record; no notarisation or authentication is needed	Notarised by the SEF first, then a mainland authority issues the registration copy	Notarised at a mainland notary office, then authenticated by a MAC-designated body	Notarised at a mainland notary office, then doubly authenticated by our missions	c	第10條：大陸地區製作之許可製造及上市販賣證明、經銷授權書、正式登記證影本、毒理測試報告、藥效檢測報告等文書，應先於大陸地區公證處辦理公證，並經行政院大陸委員會設立或指定之機構或委託之民間團體驗證。	Article 10.	draft	14		
ENV-4118	ENV	ENV-217	環境用藥許可證申請核發作業準則	第10條	民國113年3月8日	環境用藥-大陸文書	2	下列何組大陸地區製作之文書，須依規定辦理公證及驗證？	申請書表、審查費繳費收據及內部品質管理作業程序書	毒理測試報告、藥效（效力）檢測報告及正式登記證影本	產品外包裝標示樣張、廣告文宣及國內經銷商名冊資料	工廠平面配置圖、生產設備清單及從業人員在職證明書	Which mainland-made documents must be notarised and authenticated?	Application forms, review fee receipts and internal quality management procedures	Toxicology test reports, efficacy test reports and copies of the registration certificate	Package labelling samples, advertising materials and domestic distributor lists	Plant layout drawings, production equipment lists and staff employment certificates	b	第10條第3款至第5款：大陸地區主管機關核發之正式登記證影本、毒理測試報告、藥效（效力）檢測報告，均須先公證再經驗證；另包括許可製造販賣證明、經銷授權書及不列管證明。	Article 10, subparagraphs 3 to 5.	draft	14		
ENV-4119	ENV	ENV-217	環境用藥許可證申請核發作業準則	第11條	民國113年3月8日	環境用藥-許可證登記	2	環境用藥許可證應登記之事項，不包括下列何者？	營業場所面積及貯存場所之土地分區使用情形	性能、劑型及內容量、成分及含量等產品事項	環境用藥種類及品類、品名及產品有效期限	廠商名稱、地址、負責人及製造廠名稱、地址	Which item is NOT registered on an environmental agent permit?	The premises floor area and the land use zoning of the storage site	Efficacy, dosage form and content, ingredients and their content levels	The agent category and class, the product name and the product shelf life	The firm name, address, responsible person and the plant name and address	a	第11條第1項：許可證應登記許可證字號、廠商名稱地址負責人、製造廠名稱地址、種類及品類、品名、產品有效期限、性能、劑型及內容量、成分及含量、發證日期及有效期間等；營業場所面積及土地分區非登記事項。	Article 11, paragraph 1 lists the registered items.	draft	14		
ENV-4120	ENV	ENV-217	環境用藥許可證申請核發作業準則	第11條	民國113年3月8日	環境用藥-許可證登記	2	依本準則，許可證登記事項中與效期有關者為何？	產品製造日期及批號，以及展延申請之受理日期	產品有效期限，以及許可證發證日期及有效期間	產品保固期間，以及製造廠品質系統證書有效期	產品上市日期，以及主管機關現場查核之有效期	Which validity-related items appear on the permit?	The manufacture date and batch number, and the renewal filing date	The product shelf life, and the permit issue date and period of validity	The product warranty period, and the plant quality certificate validity	The product launch date, and the validity of on-site inspection results	b	第11條第1項第6款及第10款：許可證應登記產品有效期限，以及許可證發證日期及有效期間。第15條並定許可證有效期間為五年。	Article 11, paragraph 1, subparagraphs 6 and 10.	draft	14		
ENV-4121	ENV	ENV-217	環境用藥許可證申請核發作業準則	第11條	民國113年3月8日	環境用藥-顯然錯誤	2	中央主管機關發現核發之許可證有誤寫等顯然錯誤時，應如何處理？	應俟展延時一併更正，效期內不得逕行更正	得隨時更正之，並通知申請人限期換領許可證	得逕予註銷該許可證，並退還已繳之審查費	應廢止原許可證，並命申請人重新提出申請	What may the authority do about an obvious clerical error on a permit?	Wait until renewal to correct it; no correction during the validity period	Correct it at any time and order the holder to exchange the permit in time	Cancel the permit outright and refund the review fee already collected	Revoke the permit and require the applicant to file a fresh application	b	第11條第2項：中央主管機關發現核發之許可證有誤寫或其他類此顯然錯誤者，得隨時更正之，並通知限期換領許可證。販賣業準則第4條第3項對許可執照亦有相同機制。	Article 11, paragraph 2.	draft	14		
ENV-4122	ENV	ENV-217	環境用藥許可證申請核發作業準則	第12條	民國113年3月8日	環境用藥-免申請	2	下列物質作為環境用藥，何者免申請環境用藥許可證？	以合成除蟲菊精類為單一有效成分且濃度在百分之六以下之殺蟲產品	以次氯酸及其鹽類、亞氯酸鈉為單一有效成分且濃度在百分之十以下者	以次氯酸及其鹽類、亞氯酸鈉為單一有效成分且濃度在百分之六以下者	以硼砂（酸）為單一有效成分且濃度在百分之二十以下之防蟲產品	Which substance used as an environmental agent needs no permit?	Synthetic pyrethroids as sole active ingredient at 6 percent or below as pesticide	Hypochlorite or sodium chlorite as sole active ingredient at 10 percent or below	Hypochlorite or sodium chlorite as sole active ingredient at 6 percent or below	Borax or boric acid as sole active ingredient at 20 percent or below for pests	c	第12條第1款：以次氯酸及其鹽類、亞氯酸鈉為單一有效成分，其濃度在百分之六以下者，免申請許可證；另有漂白粉及特定原體之免申請規定。	Article 12, subparagraph 1.	draft	14		
ENV-4123	ENV	ENV-217	環境用藥許可證申請核發作業準則	第12條	民國113年3月8日	環境用藥-免申請	2	漂白粉免申請許可證之條件為何？另有哪些原體免申請許可證？	漂白粉有效氯濃度在百分之六十以下；次氯酸及其鹽類、亞氯酸鈉、二氧化氯、硼砂（酸）原體	漂白粉有效氯濃度在百分之四十以下；次氯酸及其鹽類、亞氯酸鈉、二氧化氯、硼砂（酸）原體	漂白粉有效氯濃度在百分之二十以下；次氯酸及其鹽類、二氧化氯及所有殺菌劑原體	漂白粉有效氯濃度在百分之四十以下；天然除蟲菊精、合成樟腦、對二氯苯及萘之原體	What bleaching powder qualifies for exemption, and which raw materials are exempt?	Bleaching powder at 60 percent available chlorine or below; hypochlorite, chlorite, chlorine dioxide and borate raw materials	Bleaching powder at 40 percent available chlorine or below; hypochlorite, chlorite, chlorine dioxide and borate raw materials	Bleaching powder at 20 percent available chlorine or below; hypochlorite, chlorine dioxide and all disinfectant raw materials	Bleaching powder at 40 percent available chlorine or below; pyrethrum, camphor, dichlorobenzene and naphthalene raw materials	b	第12條第2款、第3款：漂白粉有效氯濃度在百分之四十以下者免申請許可證；次氯酸及其鹽類、亞氯酸鈉、二氧化氯、硼砂（酸）原體亦免申請。	Article 12, subparagraphs 2 and 3.	draft	14		
ENV-4124	ENV	ENV-217	環境用藥許可證申請核發作業準則	第13條	民國113年3月8日	環境用藥-天然物質	2	作為環境防蟲、防鼠或誘引用途而不具殺蟲作用之天然物質產品，其管理方式為何？	應依第二條規定申請許可證；僅專供試驗研究者得經審核通過後免申請環境用藥許可證	檢具附件三文件、資料經地方主管機關審核通過後免申請許可證；天然除蟲菊精類亦免申請	檢具附件三文件、資料經中央主管機關審核通過後免申請許可證；天然除蟲菊精類仍應申請	一律免申請許可證且免送審核，僅須於上市前將產品標示報中央主管機關備查即可	How are non-insecticidal natural substances for pest repelling or luring handled?	A permit under Article 2 is required; only research-use products may be exempted after review	Exempt from permit after the local authority approves the Appendix 3 documents; pyrethrum is also exempt	Exempt from permit after the central authority approves the Appendix 3 documents; pyrethrum still needs one	Always exempt without any review; only the label need be filed for record before launch	c	第13條：作為環境防蟲、防鼠或誘引用途而不具殺蟲作用之天然物質產品，申請人檢具附件三之文件、資料供中央主管機關審核通過後，免申請許可證；但天然除蟲菊精類仍應依第2條申請。	Article 13, with a proviso for natural pyrethrins.	draft	14		
ENV-4125	ENV	ENV-217	環境用藥許可證申請核發作業準則	第14條	民國113年3月8日	環境用藥-不予核發	3	依世界衛生組織殺蟲劑口服或皮膚毒性分類，何種情形不予核發許可證？例外為何？	毒性屬高毒、極毒者不予核發；但一般環境衛生用藥不在此限	毒性屬中等毒以上者不予核發；但殺鼠劑及環境用藥原體不在此限	毒性屬輕毒以上者不予核發；但污染防治用藥及殺菌劑不在此限	毒性屬高毒、極毒者不予核發；但殺鼠劑及污染防治用藥不在此限	Which WHO toxicity classes bar issuance of a permit, and what is exempt?	Highly and extremely toxic are barred; general sanitation agents are exempt	Moderately toxic and above are barred; rodenticides and raw materials are exempt	Slightly toxic and above are barred; pollution control agents and disinfectants are exempt	Highly and extremely toxic are barred; rodenticides and pollution control agents are exempt	d	第14條第1款：環境用藥之毒性屬世界衛生組織殺蟲劑口服或皮膚毒性分類（附件四）為高毒、極毒者不予核發許可證，但殺鼠劑及污染防治用藥不在此限。	Article 14, subparagraph 1.	draft	14		
ENV-4126	ENV	ENV-217	環境用藥許可證申請核發作業準則	第14條	民國113年3月8日	環境用藥-不予核發	2	下列何種情形，中央主管機關對許可證申請應不予核發？	申請者持有之製造許可證有效期間不足一年仍申請新產品	申請者已持有相同劑型之許可證，但其來源為不同之製造廠	申請者曾遭撤銷許可證，且該處分作成未滿一年即再行申請	申請者已持有相同成分種類之許可證，且其來源為同一製造廠	Which situation bars the issuance of a permit?	The applicant manufacturing permit has less than one year of validity left	The applicant already holds a permit for the same dosage form from another plant	The applicant had a permit revoked less than one year before reapplying	The applicant already holds a permit for the same ingredient from the same plant	d	第14條第2款：申請者已持有相同成分種類之許可證，且其來源為同一製造廠者，不予核發；此外尚有毒性過高、成分效能重複、品名重複及有危害健康之虞等不予核發事由。	Article 14, subparagraph 2.	draft	14		
ENV-4127	ENV	ENV-217	環境用藥許可證申請核發作業準則	第14條	民國113年3月8日	環境用藥-不予核發	3	關於有效成分之重複，何種情形不予核發許可證？其例外為何？	含二種以上效能不同之有效成分者不予核發；但殺鼠劑或已添加苦味劑者不在此限	含二種以上有效成分且濃度逾百分之五者不予核發；但污染防治用藥不在此限	含二種以上效能相同之有效成分者不予核發；但殺菌劑或證明有增加不同效能者不在此限	含任何協力劑之產品一律不予核發；但協力劑含量總和未達百分之一者不在此限	When do duplicate active ingredients bar a permit, and what is the exception?	Two or more ingredients of different efficacy are barred, except rodenticides or bittered products	Two or more ingredients above five percent are barred, except pollution control agents	Two or more ingredients of the same efficacy are barred, except disinfectants or proven added efficacy	Any product containing a synergist is barred, except where synergists total under one percent	c	第14條第3款：環境用藥含二種以上效能相同之有效成分者不予核發；但殺菌劑，或經證明有增加不同效能者，不在此限。第4款另定品名重複或以有效成分中文名稱為品名者不予核發。	Article 14, subparagraph 3.	draft	14		
ENV-4157	ENV	ENV-219	環境用藥標示準則	第1條	民國95年7月24日	環境用藥-標示依據	1	環境用藥標示準則之訂定授權依據為何？	依環境用藥管理法第二十三條第一項規定訂定	依環境用藥管理法第十七條第二項規定訂定	依環境用藥管理法第二十七條第二項規定訂定	依環境用藥管理法第十一條第一項規定訂定	Under which provision are the labelling regulations enacted?	Under Article 23, paragraph 1 of the Environmental Agents Control Act	Under Article 17, paragraph 2 of the Environmental Agents Control Act	Under Article 27, paragraph 2 of the Environmental Agents Control Act	Under Article 11, paragraph 1 of the Environmental Agents Control Act	c	第1條：本準則依環境用藥管理法第二十七條第二項規定訂定，據以規範環境用藥標示之項目與變更程序；第8條並定自發布日施行。	Article 1.	draft	14		
ENV-4158	ENV	ENV-219	環境用藥標示準則	第2條	民國95年7月24日	環境用藥-標示文字	2	環境用藥之標示文字，依本準則應以何種文字為之？	應以中文及英文並列為之，不得僅以單一文字標示	得以中文或外文擇一為之，由廠商視銷售市場決定	應以出產國原文為之，並附加中文譯本標籤於外包裝	應以中文為之，必要時得輔以外文標示相關項目	In what language must an environmental agent be labelled?	In both Chinese and English, never in one language alone	Either Chinese or a foreign language, as the firm prefers	In the language of the country of origin, plus a Chinese sticker	In Chinese, with a foreign language added where necessary	d	第2條第1項前段：環境用藥之標示文字應以中文為之，必要時得輔以外文；其標示項目共十四款，自環境用藥字樣至產品有效期限。	Article 2, paragraph 1.	draft	14		
ENV-4159	ENV	ENV-219	環境用藥標示準則	第2條	民國95年7月24日	環境用藥-標示項目	2	下列何者屬環境用藥標示準則所定之應標示項目？	產品之建議售價、經銷通路名冊及消費者退換貨之規定	製造廠之工廠登記證字號、資本額及品質管理系統證書	主管機關現場查核日期、抽驗結果及最近一次裁處紀錄	中毒症狀、急救及解毒方法，以及廢容器回收清理方式	Which of these is a mandatory label item under the regulations?	Suggested retail price, distributor list and the consumer return policy	Plant registration number, paid-in capital and quality system certificate	Inspection dates, sampling results and the latest penalty record on file	Poisoning symptoms, first aid and antidote methods, plus container disposal	d	第2條第1項：應標示項目包括環境用藥字樣、警示圖案或警語、許可證字號、品名、有效成分及含量、性能、劑型及內容量、適用範圍及使用方法、使用及儲藏注意事項、中毒症狀急救及解毒方法、廢容器回收清理方式、廠商名稱地址電話、製造日期及批號、產品有效期限。	Article 2, paragraph 1, subparagraphs 10 and 11.	draft	14		
ENV-4160	ENV	ENV-219	環境用藥標示準則	第2條	民國95年7月24日	環境用藥-廠商標示	3	標示項目所稱廠商係指何者？輸入之環境用藥應如何加註？	指輸入廠商及國內經銷商；輸入者應加註出產國之許可證字號	指販賣業者及分裝工廠；輸入者應加註輸入報單號碼及進口日期	指製造廠商或輸入廠商；輸入者應加註原製造廠國別、名稱及地址	指製造廠商；輸入者應加註我國駐外單位驗證文件之核發字號	Who counts as the firm on the label, and what must imports add?	The importer and domestic distributor; imports must add the origin permit number	The vendor and repackaging plant; imports must add the entry declaration number	The maker or the importer; imports must add the original plant country, name and address	The maker only; imports must add the number of the consular authentication paper	c	第2條第2項：所稱廠商指製造廠商或輸入廠商；輸入之環境用藥應加註原製造廠國別、名稱及地址。第2條第1項第12款並要求標示廠商名稱、地址及電話號碼。	Article 2, paragraph 2.	draft	14		
ENV-4161	ENV	ENV-219	環境用藥標示準則	第3條	民國95年7月24日	環境用藥-字樣	2	下列何者為本準則所定應標示之環境用藥字樣？	一般毒性化學物質、特殊毒性化學物質或關注化學物質原體	一般農業用藥、特殊農業用藥或農業用藥原體等三類字樣	一般環境衛生用藥、特殊環境衛生用藥或環境衛生用藥原體	一般消毒用品、特殊消毒用品或家用清潔劑原體等三類字樣	Which wording must appear as the environmental agent designation?	General or special toxic chemical substance, or concerned substance raw material	General or special agricultural pesticide, or agricultural pesticide raw material	General or special environmental sanitation agent, or sanitation agent raw material	General or special disinfectant product, or household cleaner raw material	c	第3條：環境用藥字樣包括一般環境衛生用藥、特殊環境衛生用藥或環境衛生用藥原體；污染防治用藥；一般環境用藥微生物製劑、特殊環境用藥微生物製劑或環境用藥微生物製劑原體。	Article 3, subparagraph 1.	draft	14		
ENV-4162	ENV	ENV-219	環境用藥標示準則	第4條	民國95年7月24日	環境用藥-警示圖案	2	環境用藥標示之警示圖案或警語，其分類依據及污染防治用藥之標示參照為何？	依劑型及內容量分類標示圖案或顏色；污染防治用藥參照國家標準之危險品標示	依產品有效期限分類標示圖案或顏色；污染防治用藥參照經合組織之標示規範	依有效成分含量分類標示圖案或顏色；污染防治用藥參照世界衛生組織之分類	依毒性及產品特性分類標示圖案或顏色；污染防治用藥參照聯合國化學品標示規定	How are warning symbols classified, and what do pollution control agents follow?	Classified by dosage form and content; pollution control agents follow national danger labels	Classified by product shelf life; pollution control agents follow OECD labelling standards	Classified by active ingredient content; pollution control agents follow WHO classification	Classified by toxicity and product properties; pollution control agents follow UN labelling	d	第4條：第2條第1項第2款所稱警示圖案或警語，依環境衛生用藥、環境用藥微生物製劑原體之毒性及產品特性分類，標示警示圖案或顏色（如附件）；污染防治用藥標示警示圖案或警語，參照聯合國化學品標示規定。	Article 4.	draft	14		
ENV-4163	ENV	ENV-219	環境用藥標示準則	第5條	民國95年7月24日	環境用藥-標示變更	3	何種標示事項變更後，製造或輸入應即使用新標示而不得使用庫存原標示？	許可證字號、劑型及內容量之變更，應即使用變更後之標示內容	適用範圍及使用方法之變更，應即使用變更後之標示內容並回收	品名、性能、廠商名稱及地址之變更，應即使用變更後之標示內容	中毒症狀及急救方法之變更，應即使用變更後之標示內容並公告	Which label changes bar any further use of old stock labels?	Changes to permit number, dosage form and content take effect at once	Changes to the scope of use and method of use take effect at once with recall	Changes to product name, efficacy, and firm name and address take effect at once	Changes to poisoning symptoms and first aid take effect at once with notice	c	第5條第1項：品名、性能、廠商名稱及地址三項標示變更，自核准變更後其製造或輸入應即使用變更後之標示內容，不得使用庫存之原標示。	Article 5, paragraph 1.	draft	14		
ENV-4164	ENV	ENV-219	環境用藥標示準則	第5條	民國95年7月24日	環境用藥-庫存標示	2	品名、性能、廠商名稱地址以外之標示變更，庫存原標示得於多久內繼續使用？	有庫存原標示者，於核准變更後三個月內仍得使用	有庫存原標示者，於核准變更後六個月內仍得使用	有庫存原標示者，於核准變更後一年內仍得使用	有庫存原標示者，一律不得再使用而應全數銷毀	How long may old stock labels be used for other label changes?	Existing stock labels may be used for three months after the change is approved	Existing stock labels may be used for six months after the change is approved	Existing stock labels may be used for one year after the change is approved	Existing stock labels may never be used and must all be destroyed at once	b	第5條第2項：第1項規定以外之變更標示，有庫存原標示者，於核准變更後六個月內仍得使用；品名、性能、廠商名稱地址之變更則無此緩衝期。	Article 5, paragraph 2: six months.	draft	14		
ENV-4165	ENV	ENV-219	環境用藥標示準則	第6條	民國95年7月24日	環境用藥-標示限制	2	第二條規定項目以外之文字或圖案，不得有下列何種情形？	未取得原製造廠授權、未附加防偽標籤或未標示條碼資訊	未經地方主管機關核備、未載明經銷商名稱或未標示售價	以中文以外之外文書寫、字體小於核准標示或使用彩色印刷	與核准標示內容不符、誇大虛偽不實或有致消費者誤信之虞	What must additional wording or graphics on the label avoid?	Lacking maker authorisation, an anti-counterfeit sticker, or a barcode	Lacking local authority approval, a distributor name, or a stated retail price	Being written in a foreign language, smaller type, or printed in full colour	Conflicting with the approved label, exaggeration or falsity, or misleading consumers	d	第6條：第2條規定項目以外之文字或圖案，不得有與核准標示內容不符、誇大虛偽不實、有致消費者誤信之虞、違背公共秩序或善良風俗等情形。	Article 6, subparagraphs 1 to 3.	draft	14		
